kabko,lat,long
KAB. CIREBON,-6.6898876,108.4750846
KAB. GARUT,-7.501220399999999,107.763621
KAB. INDRAMAYU,-6.3373100000000004,108.3258329
KAB. KARAWANG,-6.3227303,107.3375791
KAB. KUNINGAN,-7.0138053,108.5700636
KAB. MAJALENGKA,-6.7790605,108.2852049
KAB. PANGANDARAN,-7.615061099999999,108.4988269
KAB. PURWAKARTA,-6.5649241,107.4321959
KAB. SUBANG,-6.3487617,107.763621
KAB. SUKABUMI,-6.8649236,106.9535691
KAB. SUMEDANG,-6.832858,107.9531836
KAB. TASIKMALAYA,-7.6513306,108.1428669
KOTA BANDUNG,-6.9174639000000004,107.6191228
KOTA BANJAR,-7.3706873999999996,108.5342487
KOTA BEKASI,-6.2382699,106.9755726
KOTA BOGOR,-6.597146899999999,106.8060388
KOTA CIMAHI,-6.8840816,107.5413039
KOTA CIREBON,-6.7320229,108.5523164
KOTA DEPOK,-6.4024844,106.7942405
KOTA SUKABUMI,-6.9277361,106.9299579
KOTA TASIKMALAYA,-7.350580799999999,108.2171633
KOTA JAKARTA,-6.17511,106.8650395
KAB. ADMINISTRASI KEPULAUAN SERIBU,-5.6122404,106.6169964
KAB. BANJARNEGARA,-7.379436800000001,109.6163185
KAB. BANYUMAS,-7.4832133,109.140438
KAB. BATANG,-7.039218300000001,109.9020509
KAB. BLORA,-7.012244,111.3798928
KAB. BOYOLALI,-7.431777299999999,110.6883536
KAB. BREBES,-6.9591793,108.902683
KAB. CILACAP,-7.617809599999998,108.902683
KAB. DEMAK,-6.9238879,110.6645683
KAB. GROBOGAN,-7.1541672,110.9506636
KAB. JEPARA,-6.582711000000001,110.6786933
KAB. KARANGANYAR,-7.6387228,111.0460407
KAB. KEBUMEN,-7.6680559,109.6524575
KAB. KENDAL,-7.0265442,110.1879106
KAB. KLATEN,-7.657893,110.6645683
KAB. KUDUS,-6.772618599999999,110.8791343
KAB. MAGELANG,-7.430523699999999,110.2832217
KAB. PATI,-6.7449635,111.0460407
KAB. PEKALONGAN,-7.0517128,109.6163185
KAB. PEMALANG,-7.0599422,109.4259114
KAB. PURBALINGGA,-7.3058578,109.4259114
KAB. PURWOREJO,-7.6964509,109.9989416
KAB. REMBANG,-6.8082115,111.4275888
